no_pret;fonds;vm_courus;solde_capital;taux_hyp;date maturity;frequence;versement;assurance;type;credit_rating;devise;maturity;month_first_cf;fx_rate_bop;fx_rate_eop;Portefeuille;OwnAsset group;ESCAP group
1382092;10012503;9094174.84;9082216.13;0.03181;2025-07-15;12;40688.18;CMHC;mortgage;9;CAD;1;1;1.0;1.0;10012503;FAUX;CA_TPM
1414937;21012501;6144131.2112128;6189801.04;0.024399999999999998;2026-06-16;12;24793.94;CMHC;mortgage;9;CAD;12;1;1.0;1.0;21012501;FAUX;EXCLUDED
1426162;FU031ZA;997321.0668987;1018025.76;0.0258;2027-01-01;12;5123.22;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1649474;21012501;3600061.9163609;3631094.53;0.01026;2025-11-01;12;13526.36;CMHC;mortgage;9;CAD;5;1;1.0;1.0;21012501;FAUX;EXCLUDED
1649524;23012501;1255608.1010848;1276507.39;0.0147;2026-06-01;12;5928.21;CMHC;mortgage;9;CAD;12;1;1.0;1.0;23012501;FAUX;CA_SMI
32718;10072504;905452.7054798;894262.56;0.047670000000000004;2028-01-01;12;4678.75;Uninsured;mortgage;9;CAD;31;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
32718;FU031ZA;1592087.6563156;1572411.66;0.047670000000000004;2028-01-01;12;8226.8;Uninsured;mortgage;9;CAD;31;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
33238;FU031ZA;644577.2742695;645331.23;0.04575;2030-04-01;12;3611.72;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5832043;10012503;7449728.9612259;7188670.54;0.04622;2028-07-15;12;37940.08;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10012503;FAUX;CA_TPM
5837240;10112501;1564074.9128223;1490019.74;0.054720000000000005;2028-02-02;12;17979.51;CMHC;mortgage;9;CAD;32;1;1.0;1.0;10112501;FAUX;CA_TPM
5837349;10012503;5820328.4993995;5553261.58;0.04708999999999999;2032-04-01;12;50959.56;CMHC;mortgage;9;CAD;82;1;1.0;1.0;10012503;FAUX;CA_TPM
5837711;10012503;550643.3564174;539798.64;0.04954;2027-05-01;12;24637.53;CMHC;mortgage;9;CAD;23;1;1.0;1.0;10012503;FAUX;CA_TPM
5838529;FU031ZA;471793.8470504;459572.43;0.05541;2026-07-01;12;5874.65;CMHC;mortgage;9;CAD;13;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5841093;10072504;223878.0669024;225583.58;0.02632;2025-12-18;12;1011.19;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
5841119;10012501;427655.2265121;430453.63;0.02391;2025-12-16;12;2212.78;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10012501;FAUX;CA_TPM
5841143;10042504;4274890.1724752;4304187.08;0.023319999999999997;2025-12-01;12;22004.14;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10042504;FAUX;EXCLUDED
5870522;10072504;217605.9442831;218712.69;0.027200000000000002;2025-10-15;12;1166.31;Uninsured;mortgage;9;CAD;4;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
5870654;FU031ZA;1305959.5133994;1317767.37;0.02717;2026-04-01;12;6898.73;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547375;10242501;5660565.6424374;5904563.24;0.0313;2026-11-15;12;27399.15;Uninsured;mortgage;9;USD;17;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
8007874;10012503;1394804.3291649;1339856.94;0.05221;2029-10-01;12;28812.67;CMHC;mortgage;9;CAD;52;1;1.0;1.0;10012503;FAUX;CA_TPM
1281450;10012503;8417323.7823058;8071366.52;0.04936;2037-05-05;12;74572.32;CMHC;mortgage;9;CAD;143;1;1.0;1.0;10012503;FAUX;CA_TPM
1598093;10012503;82163.823804;81821.55;0.04719;2025-08-15;12;739.6;CMHC;mortgage;9;CAD;2;1;1.0;1.0;10012503;FAUX;CA_TPM
1621036;10012501;286152.623664;290400.0;0.02997;2027-01-05;12;720.79;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10012501;FAUX;CA_TPM
1621036;FU031ZA;429228.925496;435600.0;0.02997;2027-01-05;12;1081.18;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1621135;10062504;71183.4208784;72240.0;0.02997;2027-01-05;12;179.3;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10062504;FAUX;EXCLUDED
32826;10042504;793933.4895445;845807.46;0.05727;2030-03-01;12;5299.33;Uninsured;mortgage;9;CAD;57;1;1.0;1.0;10042504;FAUX;EXCLUDED
5833884;10012503;1431547.3412262;1381382.11;0.04622;2028-07-15;12;7290.61;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10012503;FAUX;CA_TPM
5837828;10012503;11109370.7440482;10441727.15;0.04956000000000001;2032-06-10;12;75559.15;CMHC;mortgage;9;CAD;84;1;1.0;1.0;10012503;FAUX;CA_TPM
5840939;19012501;750113.5186979;744947.34;0.05075;2026-02-01;12;4394.11;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;19012501;FAUX;EXCLUDED
5841085;10012501;2629853.7687214;2649846.68;0.02635;2025-12-18;12;11882.1;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10012501;FAUX;CA_TPM
5841135;21012501;4358722.2096234;4398889.29;0.0125;2025-12-01;12;12760.67;CMHC;mortgage;9;CAD;6;1;1.0;1.0;21012501;FAUX;EXCLUDED
5841309;FU031ZA;597712.2733691;595910.57;0.0499;2025-08-15;12;3323.84;Uninsured;mortgage;9;CAD;2;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547060;10012504;3202207.9686667;3254981.43;0.028999999999999998;2026-01-15;12;17515.61;Uninsured;mortgage;9;USD;7;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
8005118;10012503;17371069.3762164;16572757.61;0.04974;2035-06-01;12;174037.72;CMHC;mortgage;9;CAD;120;1;1.0;1.0;10012503;FAUX;CA_TPM
1363647;10012503;5847436.6117382;5765672.8;0.039420000000000004;2027-08-16;12;27723.83;CMHC;mortgage;9;CAD;26;1;1.0;1.0;10012503;FAUX;CA_TPM
1414853;FU031ZA;499778.8728228;489587.93;0.04929;2027-10-01;12;3316.07;Uninsured;mortgage;9;CAD;28;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1594019;10012501;9657592.1151357;9649418.31;0.04606;2032-01-01;12;89500.96;Uninsured;mortgage;9;CAD;79;1;1.0;1.0;10012501;FAUX;CA_TPM
1649425;10072504;505731.8782315;498150.01;0.0625;2025-12-01;12;3029.84;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
1649656;FU031ZA;2111678.2178749;2097672.15;0.05091999999999999;2026-01-01;12;13330.12;Uninsured;mortgage;9;CAD;7;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
33445;10052504;487284.435;500000.0;0.06249;2030-05-01;12;2570.49;Uninsured;mortgage;9;CAD;59;1;1.0;1.0;10052504;FAUX;CA_PAR_NL
5833892;10012503;3361359.4314494;3333545.84;0.03698;2030-02-15;12;15863.42;CMHC;mortgage;9;CAD;56;1;1.0;1.0;10012503;FAUX;CA_TPM
5834791;21012501;1438113.3079757;1457863.28;0.01925;2026-07-16;12;5464.57;CMHC;mortgage;9;CAD;13;1;1.0;1.0;21012501;FAUX;EXCLUDED
5837901;10062504;1318559.3175198;1238005.31;0.052770000000000004;2029-12-15;12;11254.07;CMHC;mortgage;9;CAD;54;1;1.0;1.0;10062504;FAUX;EXCLUDED
5840764;10012503;2405840.5459261;2522259.03;0.02839;2032-06-10;12;15580.69;CMHC;mortgage;9;CAD;84;1;1.0;1.0;10012503;FAUX;CA_TPM
5840939;10012501;3669859.6576512;3644584.61;0.05075;2026-02-01;12;21497.79;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;10012501;FAUX;CA_TPM
5870639;FU031ZA;1201533.3958816;1211742.88;0.025150000000000002;2026-01-01;12;6281.99;Uninsured;mortgage;9;CAD;7;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547292;10012504;3075603.3438171;3141777.59;0.041299999999999996;2027-01-10;12;16972.91;Uninsured;mortgage;9;USD;19;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
8011165;10042504;4988058.2803435;4748504.03;0.057409999999999996;2028-06-01;12;37687.11;Uninsured;mortgage;9;CAD;36;1;1.0;1.0;10042504;FAUX;EXCLUDED
8011223;FU031ZA;54994.9284602;55798.31;0.02681;2026-09-01;12;352.91;Uninsured;mortgage;9;CAD;15;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1273788;21012501;3553965.0642598;3546696.03;0.0334;2025-10-08;12;16046.64;CMHC;mortgage;9;CAD;4;1;1.0;1.0;21012501;FAUX;EXCLUDED
1382092;10062504;4418714.98;4412904.43;0.03181;2025-07-15;12;19769.74;CMHC;mortgage;9;CAD;1;1;1.0;1.0;10062504;FAUX;EXCLUDED
1426105;10042504;2243647.009591;2248361.96;0.03198;2026-02-01;12;10685.25;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;10042504;FAUX;EXCLUDED
1426154;FU031ZA;1219489.776256;1244613.36;0.028769999999999997;2027-02-01;12;7830.83;Uninsured;mortgage;9;CAD;20;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1550813;10012503;312159.7459622;305195.62;0.053;2026-07-04;12;5710.3;CMHC;mortgage;9;CAD;13;1;1.0;1.0;10012503;FAUX;CA_TPM
1556547;10012503;222747.8949829;220272.19;0.05;2026-01-15;12;3460.0;CMHC;mortgage;9;CAD;7;1;1.0;1.0;10012503;FAUX;CA_TPM
1609072;10012503;410955.6960379;405428.85;0.0675;2025-09-01;12;3729.75;CMHC;mortgage;9;CAD;3;1;1.0;1.0;10012503;FAUX;CA_TPM
1642891;10012501;2964139.1090861;3089394.1;0.042;2032-03-01;12;25077.38;Uninsured;mortgage;9;CAD;81;1;1.0;1.0;10012501;FAUX;CA_TPM
1649557;21012501;4339478.3239239;4411707.88;0.0147;2026-06-01;12;20488.33;CMHC;mortgage;9;CAD;12;1;1.0;1.0;21012501;FAUX;EXCLUDED
32826;10032504;467184.1353536;497708.98;0.05727;2030-03-01;12;3118.35;Uninsured;mortgage;9;CAD;57;1;1.0;1.0;10032504;FAUX;EXCLUDED
32826;10062504;2571897.2216627;2739939.65;0.05727;2030-03-01;12;17166.83;Uninsured;mortgage;9;CAD;57;1;1.0;1.0;10062504;FAUX;EXCLUDED
33238;10012501;9781726.7324045;9793168.35;0.04575;2030-04-01;12;54809.28;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;10012501;FAUX;CA_TPM
33238;10042504;995229.4099878;996393.52;0.04575;2030-04-01;12;5576.5;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;10042504;FAUX;EXCLUDED
5832050;10062504;624140.8035123;591157.01;0.052320000000000005;2028-09-15;12;3330.75;CMHC;mortgage;9;CAD;39;1;1.0;1.0;10062504;FAUX;EXCLUDED
5841101;19012501;1778116.3571229;1788638.69;0.02724;2025-12-18;12;8100.8;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;19012501;FAUX;EXCLUDED
5870639;10012501;2360154.8971482;2380209.24;0.025150000000000002;2026-01-01;12;12339.62;Uninsured;mortgage;9;CAD;7;1;1.0;1.0;10012501;FAUX;CA_TPM
5870795;FU031ZA;1490381.4824427;1475427.82;0.04269;2027-06-01;12;8597.19;Uninsured;mortgage;9;CAD;24;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870860;FU031ZA;1221444.7979328;1194683.48;0.05009;2027-09-01;12;6667.17;Uninsured;mortgage;9;CAD;27;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7720139;55012501;869072.1406273;855205.5;0.061500000000000006;2027-08-01;12;6731.27;Uninsured;mortgage;9;USD;26;1;1.374950000001;1.3645;55012501;FAUX;US_PA
8006173;10012503;1815690.6388331;1692386.74;0.059500000000000004;2029-09-10;12;19890.08;CMHC;mortgage;9;CAD;51;1;1.0;1.0;10012503;FAUX;CA_TPM
1273796;10012503;5252789.6704383;5128240.49;0.046689999999999995;2027-02-08;12;27010.78;CMHC;mortgage;9;CAD;20;1;1.0;1.0;10012503;FAUX;CA_TPM
1290279;10012503;7925017.328425;7519912.17;0.051699999999999996;2028-09-16;12;41499.17;CMHC;mortgage;9;CAD;39;1;1.0;1.0;10012503;FAUX;CA_TPM
1350685;10012502;2393033.0191671;2276661.52;0.05375;2033-12-01;12;16132.27;Uninsured;mortgage;9;CAD;102;1;1.0;1.0;10012502;FAUX;CA_TPM
1375013;10112501;6218395.1744302;6214289.29;0.02519;2025-08-01;12;41078.12;CMHC;mortgage;9;CAD;2;1;1.0;1.0;10112501;FAUX;CA_TPM
1414820;10062504;3547398.9152842;3545062.94;0.03107;2026-01-08;12;15569.94;CMHC;mortgage;9;CAD;7;1;1.0;1.0;10062504;FAUX;EXCLUDED
1560663;10012503;542756.8073154;516749.64;0.052000000000000005;2032-08-05;12;7197.01;CMHC;mortgage;9;CAD;86;1;1.0;1.0;10012503;FAUX;CA_TPM
1589449;19012501;695417.3722925;687157.09;0.0625;2025-09-01;12;7300.48;CMHC;mortgage;9;CAD;3;1;1.0;1.0;19012501;FAUX;EXCLUDED
1606599;10012503;5514962.7471725;5379841.78;0.045880000000000004;2027-04-01;12;43906.55;CMHC;mortgage;9;CAD;22;1;1.0;1.0;10012503;FAUX;CA_TPM
1642891;10062504;741034.755869;772348.5;0.042;2032-03-01;12;6269.35;Uninsured;mortgage;9;CAD;81;1;1.0;1.0;10062504;FAUX;EXCLUDED
1649466;19012501;1664208.8647039;1682626.85;0.012199999999999999;2026-01-01;12;6380.99;CMHC;mortgage;9;CAD;7;1;1.0;1.0;19012501;FAUX;EXCLUDED
1649524;19012501;1671217.3498613;1699034.35;0.0147;2026-06-01;12;7890.45;CMHC;mortgage;9;CAD;12;1;1.0;1.0;19012501;FAUX;EXCLUDED
32826;10052504;467184.1353536;497708.98;0.05727;2030-03-01;12;3118.35;Uninsured;mortgage;9;CAD;57;1;1.0;1.0;10052504;FAUX;CA_PAR_NL
33238;10052504;995229.4099878;996393.52;0.04575;2030-04-01;12;5576.5;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;10052504;FAUX;CA_PAR_NL
5833876;10012503;4413518.29005;4258856.81;0.04622;2028-07-15;12;22477.23;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10012503;FAUX;CA_TPM
5834809;10062504;1352318.1646842;1305033.0;0.04622;2028-07-16;12;6781.0;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10062504;FAUX;EXCLUDED
5836507;10012503;10948242.1904948;10558783.34;0.04642;2028-07-15;12;55848.35;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10012503;FAUX;CA_TPM
5840210;10032504;442256.6229929;446144.5;0.02817;2026-03-01;12;4009.19;Uninsured;mortgage;9;CAD;9;1;1.0;1.0;10032504;FAUX;EXCLUDED
5841127;10062504;1953095.2983179;1971127.43;0.012470000000000002;2025-12-01;12;5725.87;CMHC;mortgage;9;CAD;6;1;1.0;1.0;10062504;FAUX;EXCLUDED
5841135;19012501;1581614.7358515;1596189.85;0.0125;2025-12-01;12;4630.36;CMHC;mortgage;9;CAD;6;1;1.0;1.0;19012501;FAUX;EXCLUDED
5841150;10042504;4959139.5803;5010000.0;0.026000000000000002;2026-04-01;12;10796.67;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;10042504;FAUX;EXCLUDED
8009748;10012503;663416.4027565;635163.61;0.085;2026-04-15;12;6235.25;CMHC;mortgage;9;CAD;10;1;1.0;1.0;10012503;FAUX;CA_TPM
8010068;10012501;1774818.646409;1821154.48;0.0475;2027-05-10;12;25746.61;Uninsured;mortgage;9;CAD;23;1;1.0;1.0;10012501;FAUX;CA_TPM
8011272;10012501;463069.6045649;467948.49;0.03211;2027-01-01;12;3031.06;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10012501;FAUX;CA_TPM
1598085;10012503;196437.0234356;195618.71;0.04719;2025-08-15;12;1768.22;CMHC;mortgage;9;CAD;2;1;1.0;1.0;10012503;FAUX;CA_TPM
1600758;10112501;5466525.3769899;5476103.09;0.03178;2028-03-01;12;43523.68;CMHC;mortgage;9;CAD;33;1;1.0;1.0;10112501;FAUX;CA_TPM
1634997;FU031ZA;2170999.7051908;2157625.98;0.0537;2025-10-15;12;19901.75;Uninsured;mortgage;9;CAD;4;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1649466;21012501;4829468.831107;4882917.1;0.012199999999999999;2026-01-01;12;18517.39;CMHC;mortgage;9;CAD;7;1;1.0;1.0;21012501;FAUX;EXCLUDED
5834791;19012501;629347.1061019;637990.09;0.01925;2026-07-16;12;2391.4;CMHC;mortgage;9;CAD;13;1;1.0;1.0;19012501;FAUX;EXCLUDED
5837901;10012503;1318559.2112306;1238005.21;0.052770000000000004;2029-12-15;12;11254.07;CMHC;mortgage;9;CAD;54;1;1.0;1.0;10012503;FAUX;CA_TPM
5840210;10072504;187738.601123;189389.01;0.02817;2026-03-01;12;1701.91;Uninsured;mortgage;9;CAD;9;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
5841150;10012501;17312445.3447;17490000.0;0.026000000000000002;2026-04-01;12;37691.35;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;10012501;FAUX;CA_TPM
7547300;10012504;4636893.3599311;4730155.5;0.0287;2026-01-15;12;21767.83;Uninsured;mortgage;9;USD;7;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
8008310;10012503;11054402.9265614;11229430.79;0.02947;2029-05-10;12;67190.33;CMHC;mortgage;9;CAD;47;1;1.0;1.0;10012503;FAUX;CA_TPM
8008542;FU031ZA;2674948.0294306;2503529.12;0.060439999999999994;2029-05-15;12;18427.91;Uninsured;mortgage;9;CAD;47;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
8011512;10042504;2362434.959312;2274762.13;0.061529999999999994;2028-07-01;12;17299.15;Uninsured;mortgage;9;CAD;37;1;1.0;1.0;10042504;FAUX;EXCLUDED
1363647;10062504;3963698.6362738;3908274.84;0.039420000000000004;2027-08-16;12;18792.66;CMHC;mortgage;9;CAD;26;1;1.0;1.0;10062504;FAUX;EXCLUDED
1414853;10062504;1780650.5713982;1744341.49;0.04929;2027-10-01;12;11814.76;Uninsured;mortgage;9;CAD;28;1;1.0;1.0;10062504;FAUX;EXCLUDED
1426089;19012501;1178127.7012872;1188690.56;0.012929999999999999;2025-12-01;12;3479.08;CMHC;mortgage;9;CAD;6;1;1.0;1.0;19012501;FAUX;EXCLUDED
1426089;23012501;1086217.055766;1095955.86;0.012929999999999999;2025-12-01;12;3207.66;CMHC;mortgage;9;CAD;6;1;1.0;1.0;23012501;FAUX;CA_SMI
1426105;10072504;228167.4771654;228646.96;0.03198;2026-02-01;12;1086.64;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
1538560;10012503;543420.6625871;527734.18;0.059699999999999996;2027-04-01;12;25366.74;CMHC;mortgage;9;CAD;22;1;1.0;1.0;10012503;FAUX;CA_TPM
1649565;23012501;2431196.7757948;2471663.45;0.0147;2026-06-01;12;11478.6;CMHC;mortgage;9;CAD;12;1;1.0;1.0;23012501;FAUX;CA_SMI
32718;10012501;5550928.1035514;5482326.31;0.047670000000000004;2028-01-01;12;28683.32;Uninsured;mortgage;9;CAD;31;1;1.0;1.0;10012501;FAUX;CA_TPM
5836838;10012503;12797665.8069204;12265571.81;0.0529;2028-01-01;12;89034.97;CMHC;mortgage;9;CAD;31;1;1.0;1.0;10012503;FAUX;CA_TPM
5838016;10012503;8823017.7554718;8462683.19;0.049400000000000006;2037-12-15;12;75517.36;CMHC;mortgage;9;CAD;150;1;1.0;1.0;10012503;FAUX;CA_TPM
5838578;10112501;663100.2000813;648107.46;0.053689999999999995;2027-05-10;12;29699.13;CMHC;mortgage;9;CAD;23;1;1.0;1.0;10112501;FAUX;CA_TPM
5840244;10012501;3808923.297578;3807566.09;0.0375;2026-03-01;12;26652.91;Uninsured;mortgage;9;CAD;9;1;1.0;1.0;10012501;FAUX;CA_TPM
5841200;FU031ZA;1860133.8386297;1895008.88;0.02939;2027-01-01;12;9872.54;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870688;10012501;526354.0496657;538555.93;0.024940000000000004;2026-09-01;12;2719.58;Uninsured;mortgage;9;CAD;15;1;1.0;1.0;10012501;FAUX;CA_TPM
7547383;10242501;9879686.6540126;10024050.86;0.049800000000000004;2027-07-10;12;56238.0;Uninsured;mortgage;9;USD;25;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
7650393;54012501;2570665.6773053;2829399.51;0.050499999999999996;2037-09-01;12;25850.3;Uninsured;mortgage;9;USD;147;1;1.374950000001;1.3645;54012501;FAUX;US_AA
8009839;10032504;1080729.5727149;1082138.79;0.034;2026-01-01;12;10145.38;Uninsured;mortgage;9;CAD;7;1;1.0;1.0;10032504;FAUX;EXCLUDED
5841317;FU031ZA;599150.2276295;597344.19;0.0499;2025-08-15;12;3331.84;Uninsured;mortgage;9;CAD;2;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870563;FU031ZA;1162541.7170471;1171109.21;0.024540000000000003;2025-12-01;12;6055.7;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870662;10012503;5564947.3686681;5641616.38;0.017079999999999998;2026-04-01;12;17533.95;CMHC;mortgage;9;CAD;10;1;1.0;1.0;10012503;FAUX;CA_TPM
5870803;FU031ZA;1536701.4873083;1580965.13;0.036000000000000004;2029-05-01;12;7612.85;Uninsured;mortgage;9;CAD;47;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1273788;10012503;2819346.5611442;2813580.07;0.0334;2025-10-08;12;12729.73;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10012503;FAUX;CA_TPM
1289321;10062504;6719887.0270251;6706142.64;0.0334;2025-10-08;12;30341.2;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10062504;FAUX;EXCLUDED
1363654;10012503;10317402.6055152;10198553.67;0.041319999999999996;2034-08-16;12;50128.78;CMHC;mortgage;9;CAD;110;1;1.0;1.0;10012503;FAUX;CA_TPM
1426105;FU031ZA;1400694.8867728;1403638.4;0.03198;2026-02-01;12;6670.73;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1649326;10112501;4081295.0136673;4266129.06;0.02255;2029-09-01;12;18925.72;CMHC;mortgage;9;CAD;51;1;1.0;1.0;10112501;FAUX;CA_TPM
1649425;10052504;505731.868129;498150.0;0.0625;2025-12-01;12;3029.84;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10052504;FAUX;CA_PAR_NL
5834809;10012503;338079.538671;326258.25;0.04622;2028-07-16;12;1695.25;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10012503;FAUX;CA_TPM
5840939;21012501;1500227.017338;1489894.66;0.05075;2026-02-01;12;8788.23;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;21012501;FAUX;EXCLUDED
5841119;10042504;3421241.9412054;3443629.16;0.02391;2025-12-16;12;17702.25;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10042504;FAUX;EXCLUDED
5841135;23012501;1485084.2091221;1498769.76;0.0125;2025-12-01;12;4347.76;CMHC;mortgage;9;CAD;6;1;1.0;1.0;23012501;FAUX;CA_SMI
5841176;FU031ZA;1038046.0803029;1044040.59;0.032690000000000004;2026-06-05;12;4959.45;Uninsured;mortgage;9;CAD;12;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5841325;FU031ZA;1192851.4398044;1179590.26;0.04492;2027-09-01;12;6968.16;Uninsured;mortgage;9;CAD;27;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870522;10042504;3253726.8544318;3270275.32;0.027200000000000002;2025-10-15;12;17439.1;Uninsured;mortgage;9;CAD;4;1;1.0;1.0;10042504;FAUX;EXCLUDED
5870639;10032504;2875097.8009632;2899527.63;0.025150000000000002;2026-01-01;12;15031.91;Uninsured;mortgage;9;CAD;7;1;1.0;1.0;10032504;FAUX;EXCLUDED
5870688;FU031ZA;428881.043069;438823.32;0.024940000000000004;2026-09-01;12;2215.95;Uninsured;mortgage;9;CAD;15;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547359;10242501;5566591.2957876;5788258.07;0.028999999999999998;2026-10-10;12;26214.17;Uninsured;mortgage;9;USD;16;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
7547375;10012504;361312.6827235;376887.0;0.0313;2026-11-15;12;1748.88;Uninsured;mortgage;9;USD;17;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
8011363;10112501;1849694.9790072;1872585.75;0.02613;2027-09-01;12;11321.62;CMHC;mortgage;9;CAD;27;1;1.0;1.0;10112501;FAUX;CA_TPM
8011553;10012501;906844.42;903502.97;0.0675;2026-04-10;12;7154.01;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;10012501;FAUX;CA_TPM
8011579;10012503;5996311.585246;6423027.83;0.03662;2043-08-01;12;34212.96;CMHC;mortgage;9;CAD;218;1;1.0;1.0;10012503;FAUX;CA_TPM
8006413;10012503;4487768.2086196;4309953.64;0.048940000000000004;2029-11-10;12;42676.89;CMHC;mortgage;9;CAD;53;1;1.0;1.0;10012503;FAUX;CA_TPM
8010993;10012501;386079.2484072;375286.01;0.075;2026-04-10;12;3413.54;Uninsured;mortgage;9;CAD;10;1;1.0;1.0;10012501;FAUX;CA_TPM
1289339;10012503;7305003.8087591;6945867.24;0.050910000000000004;2028-08-08;12;38300.26;CMHC;mortgage;9;CAD;38;1;1.0;1.0;10012503;FAUX;CA_TPM
1290261;10012503;7696709.7913665;7338292.64;0.050019999999999995;2028-09-16;12;39764.46;CMHC;mortgage;9;CAD;39;1;1.0;1.0;10012503;FAUX;CA_TPM
1414960;10012503;8284323.2672974;8075884.71;0.045899999999999996;2027-06-16;12;41812.76;CMHC;mortgage;9;CAD;24;1;1.0;1.0;10012503;FAUX;CA_TPM
1560440;10012503;169301.8636749;165253.79;0.047259999999999996;2027-03-05;12;2383.32;CMHC;mortgage;9;CAD;21;1;1.0;1.0;10012503;FAUX;CA_TPM
1649425;10012501;2136508.294285;2104478.03;0.0625;2025-12-01;12;12799.82;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10012501;FAUX;CA_TPM
1649623;10122501;587297.5285089;596362.73;0.026600000000000002;2026-07-01;12;3077.82;Uninsured;mortgage;9;CAD;13;1;1.0;1.0;10122501;FAUX;CA_PAR_NL
33445;10012501;3406615.2542777;3495510.0;0.06249;2030-05-01;12;17970.32;Uninsured;mortgage;9;CAD;59;1;1.0;1.0;10012501;FAUX;CA_TPM
33445;10072504;487284.435;500000.0;0.06249;2030-05-01;12;2570.49;Uninsured;mortgage;9;CAD;59;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
5833884;10062504;954364.9079429;920921.42;0.04622;2028-07-15;12;4860.4;CMHC;mortgage;9;CAD;37;1;1.0;1.0;10062504;FAUX;EXCLUDED
5835277;10012503;6599640.500299;6338661.82;0.054939999999999996;2027-06-01;12;90882.88;CMHC;mortgage;9;CAD;24;1;1.0;1.0;10012503;FAUX;CA_TPM
5840640;10042504;4736730.7588824;4507570.99;0.05903;2028-07-01;12;33661.36;Uninsured;mortgage;9;CAD;37;1;1.0;1.0;10042504;FAUX;EXCLUDED
